Inicio log nanducho cargue archivo compras 2017-10-04 16:05:04 -0500
27/07/2017,FACT2000-0197,PVGWWZE,81.5. Linea 197> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0198,PVGWWEE,184.2. Linea 198> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0199,PVGWWAE,28.1. Linea 199> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0200,PVGWWGE,25.1. Linea 200> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0201,PVUWWWBL,2. Linea 201> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0202,PVUWWSG,3. Linea 202> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0203,PVUWWWWL,2. Linea 203> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0204,PVGWWZS,9. Linea 204> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0205,PVGWSBL,136.9. Linea 205> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0206,PVGWWGZ,579.2. Linea 206> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0207,PVGWWFZ,590.5. Linea 207> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0208,PVGWWBZ,267.2. Linea 208> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0209,PVGWWPZ,78.8. Linea 209> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0210,PVGWWWE,305.6. Linea 210> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0211,PVGWSWE,40.4. Linea 211> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0212,PVGWWLE,701.2. Linea 212> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0213,PVGWWZE,148.3. Linea 213> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0214,PVGWWSE,52.8. Linea 214> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0215,PVGWWGE,37.5. Linea 215> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0216,PVGWWBE,12.7. Linea 216> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0217,PVGWSBZ,11.5. Linea 217> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0218,PVGWWWA,65.7. Linea 218> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0219,PVGWWZZ,59.7. Linea 219> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0220,PVGWZBZ,44.3. Linea 220> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0221,PVUWWSF,8. Linea 221> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0222,PVGWWBE,61.4. Linea 222> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0223,PVGWWSE,74.6. Linea 223> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0224,PVUWWSB,10. Linea 224> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0225,PVGWWBE,143.6. Linea 225> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0226,PVUWWZF,19. Linea 226> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0227,PVUWWSWL,13. Linea 227> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0228,PVUWWBP,10. Linea 228> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0229,PVUWWSP,3. Linea 229> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0230,PVGWWBE,6. Linea 230> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0231,PVGWWWS,2. Linea 231> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0232,PVGWWBE,39. Linea 232> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0233,PVGWWSE,68. Linea 233> compras ok| kardex ok| inventario actualizado ok
